timestamp,tx,ty,tz,rx,ry,rz
1490992964105848344,9.995,-3.027,0.456,0.0,0.0,0.0
1490992964206396575,9.995,-3.027,0.456,0.0,0.0,0.0
1490992964301908808,9.995,-3.027,0.456,0.0,0.0,0.0
1490992964402471933,9.994,-3.028,0.459,0.0,0.0,0.0
1490992964503016074,9.993,-3.028,0.459,0.0,0.0,0.0
1490992964633925075,9.993,-3.027,0.459,0.0,0.0,0.0
1490992964710193786,9.995,-3.028,0.451,0.0,0.0,0.0
1490992964805737174,9.995,-3.028,0.452,0.0,0.0,0.0
1490992964906339427,9.995,-3.027,0.452,0.0,0.0,0.0
1490992965008445966,9.994,-3.026,0.453,0.0,0.0,0.0
1490992965103930678,9.993,-3.027,0.457,0.0,0.0,0.0
1490992965204470201,9.994,-3.026,0.453,0.0,0.0,0.0
1490992965305001995,9.993,-3.026,0.454,0.0,0.0,0.0
1490992965405617603,9.993,-3.027,0.455,0.0,0.0,0.0
1490992965501950342,9.992,-3.026,0.456,0.0,0.0,0.0
1490992965633805212,9.994,-3.027,0.459,0.0,0.0,0.0
1490992965704936077,9.994,-3.027,0.452,0.0,0.0,0.0
1490992965805504351,9.996,-3.029,0.45,0.0,0.0,0.0
1490992965906099790,9.996,-3.029,0.453,0.0,0.0,0.0
1490992966006674189,9.994,-3.028,0.454,0.0,0.0,0.0
1490992966102684010,9.994,-3.028,0.455,0.0,0.0,0.0
1490992966203266500,9.994,-3.028,0.455,0.0,0.0,0.0
1490992966304241466,9.995,-3.028,0.456,0.0,0.0,0.0
1490992966404880401,9.994,-3.028,0.456,0.0,0.0,0.0
1490992966506071144,9.994,-3.029,0.459,0.0,0.0,0.0
1490992966632239262,9.995,-3.028,0.46,0.0,0.0,0.0
1490992966702656790,9.994,-3.026,0.451,0.0,0.0,0.0
1490992966808279637,9.994,-3.026,0.452,0.0,0.0,0.0
1490992966903822704,9.993,-3.025,0.452,0.0,0.0,0.0
1490992967009397965,9.993,-3.025,0.454,0.0,0.0,0.0
1490992967104970637,9.993,-3.025,0.455,0.0,0.0,0.0
1490992967206443277,9.993,-3.025,0.455,0.0,0.0,0.0
1490992967302791932,9.993,-3.025,0.454,0.0,0.0,0.0
1490992967403484903,9.994,-3.025,0.456,0.0,0.0,0.0
1490992967504028854,9.993,-3.024,0.457,0.0,0.0,0.0
1490992967630618553,9.993,-3.024,0.459,0.0,0.0,0.0
1490992967711279330,9.995,-3.026,0.454,0.0,0.0,0.0
1490992967806838202,9.995,-3.027,0.454,0.0,0.0,0.0
1490992967907566334,9.995,-3.026,0.454,0.0,0.0,0.0
1490992968008429719,9.995,-3.026,0.456,0.0,0.0,0.0
1490992968103950821,9.995,-3.025,0.457,0.0,0.0,0.0
