timestamp,tx,ty,tz,rx,ry,rz
1490994947744294322,26.274,-50.933,1.897,0.0,0.0,0.0
1490994947749328295,26.273,-50.933,1.888,0.0,0.0,0.0
1490994947880079351,26.273,-50.934,1.889,0.0,0.0,0.0
1490994947880079351,26.273,-50.934,1.89,0.0,0.0,0.0
1490994948156829661,26.274,-50.934,1.89,0.0,0.0,0.0
1490994948166890250,26.273,-50.932,1.889,0.0,0.0,0.0
1490994948358890979,26.274,-50.932,1.893,0.0,0.0,0.0
1490994948363918118,26.273,-50.932,1.893,0.0,0.0,0.0
1490994948424264779,26.275,-50.933,1.894,0.0,0.0,0.0
1490994948519772855,26.274,-50.933,1.894,0.0,0.0,0.0
1490994948650508086,26.275,-50.933,1.893,0.0,0.0,0.0
1490994948736757868,26.273,-50.934,1.891,0.0,0.0,0.0
1490994948827387936,26.274,-50.933,1.89,0.0,0.0,0.0
1490994948922945394,26.274,-50.932,1.89,0.0,0.0,0.0
1490994949023667234,26.274,-50.933,1.892,0.0,0.0,0.0
1490994949124261708,26.274,-50.931,1.893,0.0,0.0,0.0
1490994949230124183,26.273,-50.931,1.891,0.0,0.0,0.0
1490994949321170167,26.274,-50.932,1.895,0.0,0.0,0.0
1490994949421710837,26.273,-50.932,1.896,0.0,0.0,0.0
1490994949522281535,26.271,-50.934,1.897,0.0,0.0,0.0
1490994949648067981,26.264,-50.942,1.898,0.0,0.0,0.0
1490994949734394241,26.253,-50.957,1.89,0.0,0.0,0.0
1490994949819872085,26.239,-50.973,1.891,0.0,0.0,0.0
1490994949920421790,26.222,-50.991,1.892,0.0,0.0,0.0
1490994950022096026,26.203,-51.013,1.895,0.0,0.0,0.0
1490994950122763495,26.18,-51.037,1.896,0.0,0.0,0.0
1490994950223267170,26.154,-51.066,1.898,0.0,0.0,0.0
1490994950319466540,26.125,-51.097,1.899,0.0,0.0,0.0
1490994950420327083,26.092,-51.134,1.9,0.0,0.0,0.0
1490994950521891471,26.052,-51.178,1.902,0.0,0.0,0.0
1490994950647635076,26.003,-51.232,1.903,0.0,0.0,0.0
1490994950743462220,25.945,-51.3,1.901,0.0,0.0,0.0
1490994950819740842,25.873,-51.379,1.906,0.0,0.0,0.0
1490994950920306566,25.787,-51.474,1.913,0.0,0.0,0.0
1490994951021701536,25.689,-51.583,1.92,0.0,0.0,0.0
1490994951122326129,25.58,-51.703,1.922,0.0,0.0,0.0
1490994951237913081,25.458,-51.832,1.927,0.0,0.0,0.0
1490994951323409885,25.326,-51.973,1.93,0.0,0.0,0.0
1490994951423947521,25.184,-52.127,1.936,0.0,0.0,0.0
1490994951524521505,25.029,-52.293,1.945,0.0,0.0,0.0
1490994951650938715,24.864,-52.472,1.949,0.0,0.0,0.0
1490994951722402416,24.688,-52.668,1.946,0.0,0.0,0.0
1490994951822969548,24.501,-52.876,1.955,0.0,0.0,0.0
1490994951938624794,24.303,-53.096,1.963,0.0,0.0,0.0
1490994952044264273,24.095,-53.326,1.973,0.0,0.0,0.0
1490994952124688399,23.872,-53.57,1.982,0.0,0.0,0.0
1490994952220498560,23.64,-53.824,1.99,0.0,0.0,0.0
1490994952321037237,23.396,-54.083,2.0,0.0,0.0,0.0
1490994952421591350,23.145,-54.346,2.007,0.0,0.0,0.0
1490994952522193762,22.891,-54.614,2.015,0.0,0.0,0.0
1490994952647940398,22.637,-54.894,2.023,0.0,0.0,0.0
1490994952723778343,22.382,-55.182,2.03,0.0,0.0,0.0
1490994952824684656,22.12,-55.475,2.039,0.0,0.0,0.0
1490994952926007929,21.85,-55.769,2.045,0.0,0.0,0.0
1490994953021501249,21.573,-56.068,2.057,0.0,0.0,0.0
1490994953122018298,21.286,-56.373,2.069,0.0,0.0,0.0
1490994953233561787,20.985,-56.685,2.077,0.0,0.0,0.0
1490994953324180551,20.674,-57.012,2.079,0.0,0.0,0.0
1490994953426208608,20.357,-57.351,2.083,0.0,0.0,0.0
1490994953521761776,20.034,-57.701,2.089,0.0,0.0,0.0
1490994953647956959,19.705,-58.058,2.099,0.0,0.0,0.0
1490994953728874730,19.37,-58.418,2.098,0.0,0.0,0.0
1490994953819391823,19.023,-58.781,2.109,0.0,0.0,0.0
1490994953925942024,18.67,-59.148,2.113,0.0,0.0,0.0
1490994954021734658,18.312,-59.527,2.117,0.0,0.0,0.0
1490994954123491337,17.95,-59.915,2.128,0.0,0.0,0.0
1490994954224040976,17.578,-60.308,2.135,0.0,0.0,0.0
1490994954325045993,17.2,-60.699,2.139,0.0,0.0,0.0
1490994954420668401,16.819,-61.095,2.149,0.0,0.0,0.0
1490994954521723406,16.436,-61.493,2.153,0.0,0.0,0.0
1490994954647462872,16.054,-61.897,2.158,0.0,0.0,0.0
1490994954728940994,15.67,-62.299,2.147,0.0,0.0,0.0
1490994954819463131,15.287,-62.704,2.153,0.0,0.0,0.0
1490994954925916913,14.904,-63.106,2.158,0.0,0.0,0.0
1490994955022051595,14.514,-63.505,2.163,0.0,0.0,0.0
1490994955122683415,14.122,-63.901,2.163,0.0,0.0,0.0
1490994955233366623,13.732,-64.301,2.163,0.0,0.0,0.0
1490994955323915391,13.349,-64.708,2.167,0.0,0.0,0.0
1490994955425782699,12.965,-65.116,2.172,0.0,0.0,0.0
1490994955521362298,12.577,-65.521,2.171,0.0,0.0,0.0
